"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
45337,21249,"VALORANT Champions 2021 - Playoffs","Split",2597,"Acend",255,"Gambit Esports",13,8,"standard","2021-12-12T00:00:00.000Z","[732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208]","[1081,1081,1964,1964,1964,1964,1964,2528,2528,2528,2528,2528,3135,3135,3135,3135,3135,274,274,274,274,274,1081,1081,1081]",71
45336,21249,"VALORANT Champions 2021 - Playoffs","Icebox",2597,"Acend",255,"Gambit Esports",14,12,"standard","2021-12-12T00:00:00.000Z","[2391,691,732,3208,1334,2391,691,732,3208,1334,2391,691,732,3208,1334,2391,691,732,3208,1334,2391,691,732,3208,1334]","[1964,1081,1081,1081,1081,1081,274,274,274,274,274,2528,2528,2528,2528,2528,3135,3135,3135,3135,3135,1964,1964,1964,1964]",71
45335,21249,"VALORANT Champions 2021 - Playoffs","Fracture",2597,"Acend",255,"Gambit Esports",3,13,"standard","2021-12-12T00:00:00.000Z","[3208,691,2391,1334,732,691,3208,2391,1334,732,691,3208,2391,1334,732,691,3208,2391,1334,732,691,3208,2391,1334,732]","[274,2528,274,274,274,274,1964,1964,1964,1964,1964,3135,3135,3135,3135,3135,1081,1081,1081,1081,1081,2528,2528,2528,2528]",71
45334,21249,"VALORANT Champions 2021 - Playoffs","Ascent",2597,"Acend",255,"Gambit Esports",13,7,"standard","2021-12-12T00:00:00.000Z","[691,732,1334,3208,2391,691,732,1334,3208,2391,691,732,1334,3208,2391,691,732,1334,3208,2391,691,732,1334,3208,2391]","[2528,1081,1081,1081,1081,1081,1964,1964,1964,1964,1964,3135,3135,3135,3135,3135,274,274,274,274,274,2528,2528,2528,2528]",71
45333,21249,"VALORANT Champions 2021 - Playoffs","Breeze",2597,"Acend",255,"Gambit Esports",11,13,"standard","2021-12-12T00:00:00.000Z","[732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208]","[1964,3135,3135,3135,3135,3135,274,274,274,274,274,1081,1081,1081,1081,1081,2528,2528,2528,2528,2528,1964,1964,1964,1964]",71
45189,21195,"VALORANT Champions 2021 - Playoffs","Bind",255,"Gambit Esports",976,"KRÜ Esports",18,16,"standard","2021-12-11T00:00:00.000Z","[274,274,1081,1964,3135,2528,1081,1964,3135,2528,274,1081,1964,3135,2528,274,1081,1964,3135,2528,274,1081,1964,3135,2528]","[3535,4712,4712,4712,4712,4712,3535,3535,3535,3535,4710,4710,4710,4710,4710,2532,2532,2532,2532,2532,1725,1725,1725,1725,1725]",71
45188,21195,"VALORANT Champions 2021 - Playoffs","Ascent",255,"Gambit Esports",976,"KRÜ Esports",7,13,"standard","2021-12-11T00:00:00.000Z","[274,2528,1964,3135,1081,274,2528,1964,3135,1081,274,2528,1964,3135,1081,274,2528,1964,3135,1081,274,2528,1964,3135,1081]","[1725,4712,4712,4712,4712,4712,4710,4710,4710,4710,4710,3535,3535,3535,3535,3535,2532,2532,2532,2532,2532,1725,1725,1725,1725]",71
45187,21195,"VALORANT Champions 2021 - Playoffs","Breeze",255,"Gambit Esports",976,"KRÜ Esports",13,8,"standard","2021-12-11T00:00:00.000Z","[1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135]","[1725,2532,2532,2532,2532,2532,4710,4710,4710,4710,4710,4712,4712,4712,4712,4712,3535,3535,3535,3535,3535,1725,1725,1725,1725]",71
45157,21186,"VALORANT Champions 2021 - Playoffs","Split",2597,"Acend",224,"Team Liquid",13,5,"standard","2021-12-11T00:00:00.000Z","[732,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,1334,2391,3208,732,691,691,1334,2391,3208]","[10211,17788,17788,17788,17788,17788,1690,1690,1690,1690,1690,2056,2056,2056,2056,2056,1403,1403,1403,1403,10211,1403,10211,10211,10211]",71
45156,21186,"VALORANT Champions 2021 - Playoffs","Bind",2597,"Acend",224,"Team Liquid",13,6,"standard","2021-12-11T00:00:00.000Z","[1334,3208,2391,1334,691,732,3208,2391,1334,691,732,3208,2391,691,732,3208,2391,1334,691,732,3208,2391,1334,691,732]","[1690,1403,1403,1403,1403,1403,10211,10211,10211,10211,10211,1690,1690,1690,1690,2056,2056,2056,2056,2056,17788,17788,17788,17788,17788]",71
45119,21173,"VALORANT Champions 2021 - Playoffs","Split",1625,"Fnatic",976,"KRÜ Esports",8,13,"standard","2021-12-09T00:00:00.000Z","[76,2011,2937,1920,154,76,2011,2937,1920,154,76,2011,2937,1920,154,76,2011,2937,1920,154,76,2011,2937,1920,154]","[1725,4712,4712,4712,4712,4712,4710,4710,4710,4710,4710,3535,3535,3535,3535,3535,2532,2532,2532,2532,2532,1725,1725,1725,1725]",71
45118,21173,"VALORANT Champions 2021 - Playoffs","Icebox",1625,"Fnatic",976,"KRÜ Esports",13,6,"standard","2021-12-09T00:00:00.000Z","[76,2937,1920,2011,154,76,2937,1920,2011,154,76,2937,1920,2011,154,76,2937,1920,2011,154,76,2937,1920,2011,154]","[1725,4710,4710,4710,4710,4710,2532,2532,2532,2532,2532,4712,4712,4712,4712,4712,3535,3535,3535,3535,3535,1725,1725,1725,1725]",71
45117,21173,"VALORANT Champions 2021 - Playoffs","Haven",1625,"Fnatic",976,"KRÜ Esports",13,15,"standard","2021-12-09T00:00:00.000Z","[154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937]","[2532,1725,1725,1725,1725,1725,4710,4710,4710,4710,4710,4712,4712,4712,4712,4712,3535,3535,3535,3535,3535,2532,2532,2532,2532]",71
45116,21172,"VALORANT Champions 2021 - Playoffs","Breeze",255,"Gambit Esports",727,"X10 CRIT",13,7,"standard","2021-12-09T00:00:00.000Z","[274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135]","[671,6890,6890,6890,6890,6890,3642,3642,3642,3642,3642,3113,3113,3113,3113,3113,766,766,766,766,766,671,671,671,671]",71
45115,21172,"VALORANT Champions 2021 - Playoffs","Ascent",255,"Gambit Esports",727,"X10 CRIT",7,13,"standard","2021-12-09T00:00:00.000Z","[3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528]","[671,3113,3113,3113,3113,3113,6890,6890,6890,6890,6890,3642,3642,3642,3642,3642,766,766,766,766,766,671,671,671,671]",71
