Match Id,Series Id,Event Name,Map Name,Team 1 Id,Team 1 Name,Team 2 Id,Team 2 Name,Team 1 Score,Team 2 Score,Win Condition,Date,Team 1 Player Ids,Team 2 Player Ids,Total Count
25663,12751,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Haven,388,Sentinels,1625,Fnatic,13,11,standard,2021-05-30T00:00:00.000Z,"[893,893,893,893,893,1485,1485,1485,1485,1485,724,724,724,724,724,1614,1614,1614,1614,1614,3033,3033,3033,3033,3033]","[1920,154,2937,76,2011,1920,154,2937,76,2011,1920,154,2937,76,2011,1920,154,2937,76,2011,1920,154,2937,76,2011]",41
25662,12751,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Bind,388,Sentinels,1625,Fnatic,16,14,standard,2021-05-30T00:00:00.000Z,"[724,724,724,724,724,893,893,893,893,893,1614,1614,1614,1614,1614,1485,1485,1485,1485,1485,3033,3033,3033,3033,3033]","[2937,2011,154,1920,76,2937,2011,154,1920,76,2937,2011,154,1920,76,2937,2011,154,1920,76,2937,2011,154,1920,76]",41
25661,12751,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Split,388,Sentinels,1625,Fnatic,14,12,standard,2021-05-30T00:00:00.000Z,"[893,893,893,893,893,1485,1485,1485,1485,1485,724,724,724,724,724,3033,3033,3033,3033,3033,1614,1614,1614,1614,1614]","[76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937]",41
25660,12750,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Haven,1024,NUTURN Gaming,1625,Fnatic,8,13,standard,2021-05-29T00:00:00.000Z,"[1746,1746,1746,1746,1746,3094,3094,3094,3094,3094,1754,1754,1754,1754,1754,3521,3521,3521,3521,3521,69,69,69,69,69]","[2011,1920,154,76,2937,2011,1920,154,76,2937,2011,1920,154,76,2937,2011,1920,154,76,2937,2011,1920,154,76,2937]",41
25659,12750,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Ascent,1024,NUTURN Gaming,1625,Fnatic,13,8,standard,2021-05-29T00:00:00.000Z,"[69,69,69,69,69,1746,1746,1746,1746,1746,1754,1754,1754,1754,1754,3521,3521,3521,3521,3521,3094,3094,3094,3094,3094]","[2937,2011,1920,76,154,2937,2011,1920,76,154,2937,2011,1920,76,154,2937,2011,1920,76,154,2937,2011,1920,76,154]",41
25658,12750,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Bind,1024,NUTURN Gaming,1625,Fnatic,8,13,standard,2021-05-29T00:00:00.000Z,"[69,69,69,69,69,3094,3094,3094,3094,3094,1754,1754,1754,1754,1754,3521,3521,3521,3521,3521,1746,1746,1746,1746,1746]","[76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937,76,1920,2011,154,2937]",41
25656,12749,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Ascent,1625,Fnatic,224,Team Liquid,13,10,standard,2021-05-29T00:00:00.000Z,"[76,76,76,76,76,1920,1920,1920,1920,1920,2937,2937,2937,2937,2937,2011,2011,2011,2011,2011,154,154,154,154,154]","[10211,2337,2056,1690,1403,10211,2337,2056,1690,1403,10211,2337,2056,1690,1403,10211,2337,2056,1690,1403,10211,2337,2056,1690,1403]",41
25655,12749,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Bind,1625,Fnatic,224,Team Liquid,13,10,standard,2021-05-29T00:00:00.000Z,"[2937,2937,2937,2937,2937,76,76,76,76,76,2011,2011,2011,2011,2011,1920,1920,1920,1920,1920,154,154,154,154,154]","[1403,2056,2337,1690,10211,1403,2056,2337,1690,10211,1403,2056,2337,1690,10211,1403,2056,2337,1690,10211,1403,2056,2337,1690,10211]",41
25649,12746,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Haven,388,Sentinels,1024,NUTURN Gaming,13,4,standard,2021-05-28T00:00:00.000Z,"[724,3033,3033,3033,3033,3033,1614,1614,1614,1614,1614,893,893,893,893,893,1485,1485,1485,1485,1485,724,724,724,724]","[3521,69,1746,1754,3094,3521,69,1746,1754,3094,3521,69,1746,1754,3094,3521,69,1746,1754,3094,3521,69,1746,1754,3094]",41
25648,12746,VALORANT Champions Tour 2021: Stage 2 Masters - Reykjavík,Bind,388,Sentinels,1024,NUTURN Gaming,13,5,standard,2021-05-28T00:00:00.000Z,"[893,3033,3033,3033,3033,3033,724,724,724,724,724,1485,1485,1485,1485,1485,1614,1614,1614,1614,1614,893,893,893,893]","[3094,69,1746,3521,1754,3094,69,1746,3521,1754,3094,69,1746,3521,1754,3094,69,1746,3521,1754,3094,69,1746,3521,1754]",41
